[run-experiment; hdiff at version alpha]
Location  MinSharingHeight  MergeResult
busted-5257736b993a40e7e6c3bf5b9be85fc21daced57-220b318d9896964a7522a5970ba157a9fd90d2cf 1 patience success
busted-5257736b993a40e7e6c3bf5b9be85fc21daced57-408373d00ff17f1913f7da8d1982f50001a45c9d 1 proper conflicting
busted-5257736b993a40e7e6c3bf5b9be85fc21daced57-408373d00ff17f1913f7da8d1982f50001a45c9d 1 nonest conflicting
busted-5257736b993a40e7e6c3bf5b9be85fc21daced57-408373d00ff17f1913f7da8d1982f50001a45c9d 1 patience conflicting
busted-92d4982d94dab524f11d54c5d66c66194a15e414-d228e631ac0117c1b9422f1a5e220948ca00c36d 1 proper conflicting
busted-92d4982d94dab524f11d54c5d66c66194a15e414-d228e631ac0117c1b9422f1a5e220948ca00c36d 1 nonest conflicting
busted-92d4982d94dab524f11d54c5d66c66194a15e414-d228e631ac0117c1b9422f1a5e220948ca00c36d 1 patience conflicting
busted-a38447d1b8428a9f583a99a0a0ff9ae2ac6e5c86-1086fdda06a0d662fe46ecb8bd8138e665fc5f4a 1 proper conflicting
busted-a38447d1b8428a9f583a99a0a0ff9ae2ac6e5c86-1086fdda06a0d662fe46ecb8bd8138e665fc5f4a 1 nonest conflicting
busted-a38447d1b8428a9f583a99a0a0ff9ae2ac6e5c86-1086fdda06a0d662fe46ecb8bd8138e665fc5f4a 1 patience conflicting
busted-ce15872f8f602e460276b2cb62a9ee6557296832-57badd7e0130f325a7a6bc86b506cb5ad0e92073 1 proper conflicting
busted-ce15872f8f602e460276b2cb62a9ee6557296832-57badd7e0130f325a7a6bc86b506cb5ad0e92073 1 nonest conflicting
busted-ce15872f8f602e460276b2cb62a9ee6557296832-57badd7e0130f325a7a6bc86b506cb5ad0e92073 1 patience conflicting
busted-eee3a346d3d3de4c2485242197f10d49d2c30337-37766b6ddd2e0da00e1708e2c3f19dec75c50eaf 1 proper parse-error
busted-eee3a346d3d3de4c2485242197f10d49d2c30337-37766b6ddd2e0da00e1708e2c3f19dec75c50eaf 1 nonest parse-error
busted-eee3a346d3d3de4c2485242197f10d49d2c30337-37766b6ddd2e0da00e1708e2c3f19dec75c50eaf 1 patience parse-error
busted-ef2136aa2e56bce4a79917dda9c72d8a5d7712d4-ad129e3dad4b098c33a9a75d6e49a5c4e28c3529 1 proper conflicting
busted-ef2136aa2e56bce4a79917dda9c72d8a5d7712d4-ad129e3dad4b098c33a9a75d6e49a5c4e28c3529 1 nonest success
busted-ef2136aa2e56bce4a79917dda9c72d8a5d7712d4-ad129e3dad4b098c33a9a75d6e49a5c4e28c3529 1 patience success
busted-f141b40d96e83b5da1720424212335d8e0d29246-2be725512013124effe9c9cd59dc97169dd54f87 1 proper conflicting
busted-f141b40d96e83b5da1720424212335d8e0d29246-2be725512013124effe9c9cd59dc97169dd54f87 1 nonest conflicting
busted-f141b40d96e83b5da1720424212335d8e0d29246-2be725512013124effe9c9cd59dc97169dd54f87 1 patience conflicting
Fennel-07ebc0c72e5b79624bd71d45192a01e745f1161a-12fbb708974f9903115fb5cbde8e59159e2747e4 1 proper conflicting
Fennel-07ebc0c72e5b79624bd71d45192a01e745f1161a-12fbb708974f9903115fb5cbde8e59159e2747e4 1 nonest conflicting
Fennel-07ebc0c72e5b79624bd71d45192a01e745f1161a-12fbb708974f9903115fb5cbde8e59159e2747e4 1 patience conflicting
Fennel-11f818e3403024184e1c17d0635b4d04787b2e4e-3d09507de9cd5a4c62f01709ac56dcac0a278deb 1 proper conflicting
Fennel-11f818e3403024184e1c17d0635b4d04787b2e4e-3d09507de9cd5a4c62f01709ac56dcac0a278deb 1 nonest conflicting
Fennel-11f818e3403024184e1c17d0635b4d04787b2e4e-3d09507de9cd5a4c62f01709ac56dcac0a278deb 1 patience conflicting
Fennel-1f8475e651e0b1101121af012b413256cb76d9f3-e313d3c4341e2ba0f3ecedb755744b6fa22762fa 1 proper conflicting
Fennel-1f8475e651e0b1101121af012b413256cb76d9f3-e313d3c4341e2ba0f3ecedb755744b6fa22762fa 1 nonest success
Fennel-1f8475e651e0b1101121af012b413256cb76d9f3-e313d3c4341e2ba0f3ecedb755744b6fa22762fa 1 patience success
Fennel-2ead8da81750cb408c54264851066ef6da8f5fdf-b9a4c1bb6d5758513a6ec9c63256160cf369ee8f 1 proper conflicting
Fennel-2ead8da81750cb408c54264851066ef6da8f5fdf-b9a4c1bb6d5758513a6ec9c63256160cf369ee8f 1 nonest conflicting
Fennel-2ead8da81750cb408c54264851066ef6da8f5fdf-b9a4c1bb6d5758513a6ec9c63256160cf369ee8f 1 patience conflicting
Fennel-31e5a7772bd1a2c8c413a56982736b8ecbae1f58-49155502fbbbf861c50f2922f1b611dfc6b83fd5 1 proper conflicting
Fennel-31e5a7772bd1a2c8c413a56982736b8ecbae1f58-49155502fbbbf861c50f2922f1b611dfc6b83fd5 1 nonest conflicting
Fennel-31e5a7772bd1a2c8c413a56982736b8ecbae1f58-49155502fbbbf861c50f2922f1b611dfc6b83fd5 1 patience conflicting
Fennel-6cad02114be9c4eace7027bee916b700a362d3c9-1a76f08a21b487328f03d3eafd01b1201da67e81 1 proper conflicting
